id;nombre;descripcion;cronograma;fecha
1;Dia del maestro;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
2;Dia de la madre;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
3;Dia del padre;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
4;Dia del estudiante;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
5;Dia del mar;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
6;Dia de la bandera;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
7;Dia del atleta;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
8;Dia de bolivia;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
9;Dia de La Paz;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
10;Aniversario del colegio;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
11;Clausura; clausura de la gestion escolar;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
12;Dia del la Ciudad de El Alto;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
13;Dia del nino;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
14;Carnavales;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
15;Dia del desafio;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018
16;Dia del padre;reunion en homenaje al dia del maestro;1) Himno Nacional Cor General 2) Tribuna Libre 3) Marcha Naval;17/07/2018


